X,Y,Z
74.217,93.729,34.211
74.875,92.540,34.231
74.201,91.773,33.593
75.284,90.461,33.521
76.290,90.444,34.183
77.510,89.763,34.240
74.593,89.735,32.810
74.921,101.441,37.442
74.812,100.386,37.077
74.325,99.298,36.370
75.941,99.106,37.318
74.215,97.845,35.706
75.075,97.802,36.254
75.954,97.186,36.659
77.515,96.491,37.388
75.440,96.108,35.897
78.484,95.513,37.540
74.366,95.649,34.979
77.415,95.071,36.697
75.094,94.982,35.249
76.343,94.621,35.868
77.419,93.730,36.095
79.221,93.565,37.135
78.411,92.792,36.313
80.122,92.656,37.204
77.006,92.625,35.417
80.990,92.057,37.553
77.941,91.661,35.540
81.304,90.908,37.031
78.876,90.757,35.552
80.070,90.730,36.417
77.547,90.615,34.785
82.432,90.004,37.351
79.937,89.918,35.629
79.143,94.619,37.578
80.992,89.988,36.423
75.129,98.770,36.665
75.704,100.478,37.640
75.839,105.176,39.242
76.625,104.581,39.640
74.585,104.415,38.417
75.747,103.886,38.856
75.123,103.040,38.247
77.915,102.126,39.593
75.725,101.659,38.250
76.636,101.250,38.525
77.601,101.170,39.114
78.475,100.596,39.613
77.362,100.130,38.629
79.128,98.581,39.139
77.463,98.178,38.216
78.315,97.247,38.251
79.233,97.169,38.774
81.022,97.065,39.747
80.096,96.597,39.061
79.006,96.079,38.350
81.661,94.540,39.137
83.135,94.422,39.724
80.361,93.985,38.118
82.489,93.618,39.180
81.350,93.129,38.278
83.381,93.006,39.458
84.432,92.136,39.619
83.190,91.637,38.698
80.289,98.073,39.696
85.261,91.193,39.489
86.403,90.873,39.757
83.192,90.797,38.103
85.245,90.387,38.890
84.659,89.801,38.280
82.350,95.125,39.691
74.579,107.139,39.133
75.519,106.880,39.626
76.131,105.995,39.743
78.379,105.874,41.305
79.335,105.876,41.854
81.939,105.805,43.475
77.371,105.387,40.402
81.227,104.942,42.740
79.076,104.793,41.378
82.592,104.669,43.541
80.175,104.420,41.869
77.878,104.207,40.437
79.260,103.783,41.058
80.902,103.479,42.294
84.350,103.440,44.233
82.998,103.173,43.257
78.580,102.944,40.369
83.848,102.595,43.775
79.380,102.392,40.708
81.264,102.341,41.962
85.415,102.307,44.427
82.540,101.918,42.498
78.728,101.686,40.020
80.125,101.317,40.836
81.799,101.106,41.833
85.513,100.890,44.069
83.044,100.258,42.381
81.519,100.086,41.242
86.455,99.456,43.945
83.398,99.127,41.985
84.589,99.032,42.827
87.319,98.926,44.308
81.159,98.969,40.584
85.821,98.705,43.334
84.130,97.980,42.070
85.331,97.609,42.518
86.293,97.544,43.208
87.205,97.485,43.727
83.280,97.197,41.103
88.414,96.565,44.209
86.112,96.451,42.725
85.929,95.548,41.955
87.159,95.569,42.787
88.787,95.432,43.668
83.621,95.496,40.610
85.119,95.164,41.474
87.894,94.656,42.549
86.745,94.472,42.179
87.797,93.582,42.191
89.541,93.483,43.112
79.474,100.287,40.150
85.269,93.501,40.656
86.661,93.135,41.360
87.636,92.749,41.442
82.261,99.404,41.448
86.851,91.960,40.576
87.897,91.380,41.084
89.016,91.043,41.374
88.145,97.526,44.288
87.644,96.457,43.426
84.192,93.372,40.083
89.465,91.760,42.112
86.523,100.516,44.387
83.938,99.766,42.560
89.554,94.462,43.497
80.948,101.561,41.413
84.248,100.963,43.346
89.894,95.381,44.447
90.544,93.969,43.735
92.883,92.211,44.361
91.003,91.483,42.690
91.951,91.427,43.291
92.832,91.358,43.769
94.603,90.771,44.399
90.900,90.388,42.257
92.471,90.294,42.969
89.972,90.882,41.833
93.712,91.539,44.420
83.997,105.775,44.764
84.816,104.337,44.810
86.278,102.029,44.883
86.997,101.072,45.076
87.699,99.930,45.013
89.205,97.954,45.025
95.787,90.180,44.766
91.177,95.069,44.948
92.085,94.203,44.833
94.261,92.439,45.077
92.577,93.320,44.607
95.119,91.446,45.078
81.502,108.168,44.021
80.133,107.976,43.125
76.925,107.829,40.939
78.225,107.478,41.714
79.459,107.149,42.385
81.219,107.088,43.496
82.086,107.004,44.057
82.988,106.626,44.407
76.459,107.177,40.336
79.237,108.266,42.595
80.327,107.002,42.906
82.828,107.853,44.762
83.637,107.138,44.980
84.894,105.726,45.394
88.852,105.364,47.759
87.551,105.146,46.868
85.851,104.861,45.653
88.590,104.301,47.093
86.973,104.262,46.101
89.269,104.308,47.922
86.567,103.168,45.484
87.490,102.585,45.865
88.510,101.736,46.080
89.564,101.717,46.804
89.082,100.679,45.961
89.228,98.769,45.654
88.617,99.885,45.443
89.602,99.782,46.070
99.269,90.230,46.711
90.155,103.411,47.799
90.570,101.728,47.481
90.343,100.643,47.073
91.912,100.527,47.664
90.552,99.510,46.405
91.669,99.461,47.195
93.552,97.980,47.627
91.852,97.747,46.396
90.979,97.297,45.710
93.031,96.917,46.630
94.058,96.878,47.331
91.945,96.380,45.797
95.544,95.682,47.638
94.213,94.637,46.358
96.969,94.505,47.852
95.409,94.317,46.709
93.406,93.847,45.401
94.705,93.517,45.952
97.828,93.123,47.439
95.751,92.653,46.018
99.208,91.922,47.613
97.251,91.454,46.375
98.545,91.186,46.879
100.057,90.514,47.294
95.910,91.692,45.776
90.401,98.170,45.867
94.958,96.613,47.784
100.639,91.173,47.873
96.287,90.796,45.429
98.256,92.104,47.173
96.157,105.768,49.499
97.450,105.766,49.449
98.725,105.749,49.461
90.591,105.679,48.915
97.479,104.668,49.492
90.264,104.522,48.387
91.137,103.977,48.771
99.391,103.904,49.494
97.802,103.611,49.601
92.895,103.438,49.365
91.745,102.861,48.441
91.646,101.754,48.197
91.912,105.781,49.540
92.959,102.391,49.113
92.923,101.031,48.351
94.828,100.916,49.494
93.633,99.904,48.471
94.820,99.870,49.377
95.328,97.915,48.528
97.082,97.237,49.442
96.030,96.771,48.478
97.565,96.097,49.071
98.718,95.761,49.433
98.538,94.725,48.900
99.493,93.860,48.841
97.558,95.109,48.576
99.312,92.883,48.302
94.397,98.101,48.152
93.446,98.918,47.977
99.509,95.086,49.417
93.822,100.971,49.062
100.070,105.731,49.479
101.519,104.084,49.559
100.505,103.818,49.530
101.808,103.083,49.551
100.805,102.788,49.545
101.352,100.682,49.569
99.734,101.825,49.552
100.777,93.508,49.440
100.809,92.195,48.708
101.785,91.323,48.556
103.470,91.270,49.243
104.692,90.694,49.488
94.600,105.830,50.101
93.098,105.611,50.223
95.445,104.990,49.862
96.431,104.140,49.875
93.164,103.948,50.232
94.359,103.190,50.313
96.271,103.120,50.353
97.275,102.818,50.332
98.036,102.003,49.926
94.916,102.319,50.305
97.886,100.789,50.372
95.661,100.318,49.957
96.903,99.457,50.349
98.851,99.410,50.394
97.383,98.342,49.981
98.386,97.479,50.146
99.507,96.000,50.190
97.167,101.645,50.375
102.848,105.726,49.663
104.234,105.740,49.697
105.611,105.754,49.729
108.400,105.805,49.741
107.385,105.484,49.756
102.861,104.623,49.584
106.045,104.363,49.743
107.399,104.373,49.726
109.384,105.416,49.704
109.413,104.269,49.704
103.229,103.635,49.671
104.543,103.667,49.707
108.399,103.431,49.741
104.625,102.536,49.819
105.704,102.258,49.810
107.726,102.291,49.738
103.206,101.990,49.637
106.684,102.030,49.682
104.455,101.467,49.773
105.482,101.148,49.711
106.501,100.873,49.774
103.388,100.640,49.651
104.423,100.330,49.662
108.592,100.311,49.712
107.579,100.039,49.776
100.201,99.626,49.867
102.091,99.589,49.625
106.473,99.241,49.537
103.440,99.022,49.650
105.518,98.972,49.709
109.313,98.668,49.661
100.405,98.514,50.144
102.333,98.473,50.010
104.508,98.158,49.697
108.288,97.874,49.658
103.378,97.616,50.040
109.380,97.014,49.708
102.446,96.817,50.198
104.895,96.768,49.707
108.286,96.754,49.674
105.933,96.485,49.755
104.057,95.931,50.008
106.021,95.382,49.838
107.435,95.358,49.825
108.771,95.347,49.810
100.744,94.902,50.091
105.255,94.555,50.298
106.309,94.293,50.359
101.890,94.080,50.237
102.928,93.210,50.223
108.397,93.123,50.274
103.990,92.891,50.383
103.497,92.087,50.035
105.322,91.794,50.322
101.210,97.896,50.203
104.390,91.631,49.733
109.267,101.162,49.712
101.367,98.901,49.789
109.421,93.414,50.077
100.278,100.779,49.605
109.362,102.940,49.681
110.483,105.834,49.684
113.287,105.882,49.697
115.069,105.634,49.659
116.153,105.407,49.658
110.542,104.726,49.697
112.638,104.753,49.670
111.575,104.462,49.685
115.127,103.974,49.645
111.931,103.514,49.695
116.134,103.645,49.633
112.977,103.289,49.686
114.033,103.035,49.663
110.535,102.358,49.709
111.926,102.434,49.660
113.011,102.174,49.674
115.157,101.711,49.658
111.329,101.410,49.675
110.313,101.141,49.719
114.512,100.607,49.662
115.587,100.349,49.682
111.025,100.046,49.715
112.427,100.018,49.748
114.556,99.498,49.711
115.631,99.251,49.718
112.442,98.960,49.716
111.420,98.651,49.726
114.632,98.422,49.726
113.569,98.122,49.736
115.664,98.143,49.730
112.542,97.851,49.718
115.004,97.002,49.777
111.124,96.739,49.781
116.055,96.755,49.708
116.157,102.202,49.642
110.150,95.910,49.773
112.967,95.898,49.790
115.394,95.674,49.748
110.900,94.780,49.859
113.008,94.805,49.816
114.394,94.816,49.836
115.813,94.278,49.771
111.985,93.982,49.914
113.070,93.698,49.898
112.118,92.869,50.097
115.909,92.615,49.877
113.582,92.314,50.192
114.655,92.072,50.261
112.272,91.772,50.372
109.832,94.615,49.898
109.639,99.895,49.642
112.367,96.830,49.790
111.203,92.489,50.292
116.015,90.650,50.393
114.461,91.070,50.381
85.821,105.940,45.975
85.522,107.694,46.483
84.533,107.576,46.029
87.740,106.245,47.317
83.733,108.201,45.491
84.560,106.674,45.415
87.774,107.241,47.616
88.726,106.829,48.167
95.521,107.690,49.467
90.312,106.749,49.102
90.402,108.103,49.494
93.694,107.494,50.149
91.433,107.329,49.849
95.827,106.612,49.938
94.713,106.987,49.896
93.904,106.492,50.381
91.267,108.357,50.198
98.090,107.642,49.436
99.416,107.617,49.486
97.474,106.792,49.406
101.488,106.988,49.637
100.474,106.765,49.560
100.503,108.074,49.604
103.515,107.568,49.651
106.314,107.576,49.718
102.522,107.305,49.652
109.418,107.332,49.708
107.347,106.756,49.701
106.342,106.466,49.684
104.164,106.781,49.734
101.519,108.324,49.625
111.848,107.647,49.674
113.263,107.652,49.654
114.682,107.686,49.698
115.739,107.481,49.668
114.740,106.607,49.690
111.079,106.804,49.699
112.531,106.852,49.681
99.391,98.489,50.460
95.322,103.154,50.800
100.762,96.838,50.781
101.328,95.714,50.550
102.390,94.879,50.593
103.754,94.790,50.629
105.847,92.615,50.702
107.998,92.016,50.799
108.758,90.967,50.926
109.005,92.030,50.673
106.370,91.708,50.545
111.364,91.471,50.667
110.126,91.369,50.885
92.505,107.898,50.674
76.540,93.530,35.545
76.374,100.033,38.241
80.675,100.474,40.784
88.598,93.937,42.809
81.975,102.786,42.518
76.827,106.246,40.417
92.688,97.791,47.131
90.850,102.655,47.931
92.726,100.061,48.056
116.924,91.074,50.258
98.845,101.406,49.809
107.284,98.654,49.695
116.903,95.779,49.741
116.826,97.402,49.706
116.688,99.517,49.721
116.875,94.549,49.754
98.325,98.538,50.441
97.862,99.694,50.508
79.594,99.228,39.805
76.016,114.588,44.434
77.101,114.158,44.358
75.208,113.418,43.492
77.225,113.181,43.763
79.574,112.939,44.334
78.039,112.489,43.540
75.040,112.592,42.792
76.552,112.403,43.048
79.003,112.171,43.769
77.405,111.745,42.758
75.398,111.679,42.294
79.369,111.161,43.670
78.021,110.953,42.691
80.889,110.515,44.336
75.390,110.674,41.646
76.587,110.553,41.921
80.267,109.739,43.749
75.875,109.774,41.229
81.746,109.078,44.399
76.979,109.072,41.392
79.515,108.920,42.944
78.636,109.125,42.497
80.759,108.798,43.722
75.030,108.575,40.274
76.241,113.644,43.835
78.253,114.820,45.025
79.402,114.086,44.914
80.509,113.470,44.986
81.000,112.276,44.929
81.646,111.347,45.060
75.757,115.374,45.002
77.202,119.031,47.702
78.160,118.615,47.541
79.602,118.404,47.673
76.137,118.632,47.291
81.335,117.903,47.722
82.602,117.508,47.708
78.974,117.614,47.018
79.994,117.510,47.165
75.970,117.815,46.677
81.827,116.995,47.259
80.860,116.791,46.973
77.360,117.022,46.233
78.382,116.848,46.435
75.708,116.992,45.975
82.419,116.120,46.881
83.292,116.040,47.470
80.301,116.076,46.320
81.392,115.912,46.528
76.807,116.212,45.718
78.222,115.973,45.850
81.722,114.802,46.159
83.412,114.666,47.193
84.295,114.033,47.689
82.715,113.848,46.521
81.312,113.720,45.543
83.357,112.919,46.571
84.507,112.873,47.534
83.888,111.793,46.651
83.049,111.278,46.074
85.256,110.888,47.307
83.794,110.379,46.252
85.435,109.753,47.104
84.202,109.247,46.117
86.209,109.144,47.487
83.097,109.844,45.638
84.710,111.912,47.258
82.550,115.062,46.753
87.210,124.894,50.171
88.216,124.824,49.992
89.282,124.749,49.911
89.313,123.610,49.855
87.851,122.590,50.249
88.836,122.519,49.998
77.100,122.849,50.335
78.339,122.672,50.378
79.518,122.430,50.325
88.414,121.453,50.208
80.518,122.024,50.202
76.204,122.144,49.735
83.174,121.114,49.916
80.340,121.152,49.603
85.295,120.586,50.314
89.056,120.347,50.263
77.113,121.112,49.129
78.711,120.823,49.148
84.422,119.858,49.383
76.072,120.707,48.733
80.821,119.904,48.939
85.645,119.446,50.105
89.601,119.186,50.224
82.022,119.572,48.800
78.214,119.703,48.375
83.585,118.815,48.805
76.321,119.494,47.909
80.377,118.865,48.138
81.467,118.747,48.287
85.368,118.383,49.613
86.453,118.299,50.394
84.401,117.922,48.905
86.877,116.605,50.096
84.964,116.170,48.789
86.256,115.806,49.644
89.365,121.655,49.928
84.172,115.421,47.965
85.168,114.743,48.575
86.215,114.435,49.014
85.553,113.628,48.291
87.842,113.223,49.882
87.796,115.513,50.306
86.758,113.563,49.112
86.231,112.797,48.489
87.105,112.166,49.022
89.438,111.972,50.219
86.421,111.373,48.343
88.300,111.280,49.555
79.370,121.571,49.746
82.478,118.579,48.263
89.429,110.390,49.677
87.268,109.679,48.312
88.547,109.330,49.027
88.137,108.504,48.398
89.577,109.389,49.459
84.167,120.869,49.809
95.980,117.698,49.571
94.413,116.928,49.584
95.977,116.608,49.491
95.086,115.835,49.576
95.750,113.555,49.563
93.923,113.113,49.568
94.873,112.798,49.589
93.485,116.508,49.583
96.116,112.571,49.565
95.517,111.437,49.520
96.186,110.313,49.484
94.898,108.492,49.472
96.195,108.458,49.493
94.099,115.490,49.568
92.913,125.042,49.964
94.745,124.977,49.965
91.390,124.845,49.959
90.225,124.372,49.937
92.260,123.948,49.895
95.976,123.821,49.859
91.054,123.513,49.851
94.757,123.311,49.861
95.993,122.675,49.811
93.238,122.537,49.881
94.193,122.188,49.872
91.733,121.829,49.897
95.420,121.590,49.839
92.952,121.161,49.890
91.704,120.654,49.815
94.190,120.530,49.888
92.994,120.057,49.858
90.283,119.947,49.887
91.733,119.585,49.803
96.071,119.395,49.789
92.913,118.954,49.758
90.869,118.822,49.869
92.056,118.220,49.832
89.698,118.026,50.336
93.559,117.824,49.716
92.638,117.032,49.706
91.246,116.316,49.880
92.649,115.915,49.676
90.404,115.242,50.396
91.357,115.171,50.026
92.174,114.274,49.814
95.982,120.415,49.835
94.519,118.380,49.750
91.631,112.184,50.359
92.598,112.118,49.886
94.006,111.800,49.666
92.263,111.084,50.357
93.277,114.895,49.668
92.536,109.979,50.223
93.900,108.550,49.869
90.025,110.987,50.228
90.648,109.834,50.280
93.182,113.885,49.647
90.237,108.441,49.616
93.164,111.226,49.854
77.534,135.669,49.637
76.295,135.562,49.636
77.941,134.665,49.684
76.947,134.549,49.627
78.565,133.757,49.742
76.083,133.875,49.603
77.525,133.635,49.673
79.638,133.332,49.777
78.674,132.588,49.737
77.386,132.184,49.667
79.341,131.672,49.776
76.305,131.823,49.693
78.215,131.504,49.773
76.916,130.892,49.720
78.840,130.578,49.812
79.514,129.657,49.847
76.181,129.937,49.739
78.237,129.296,49.797
76.716,129.043,49.784
79.115,128.597,49.834
77.513,128.280,49.845
79.208,127.486,49.980
78.320,126.821,50.130
76.615,126.587,50.293
79.676,126.466,50.278
88.323,135.648,49.841
89.481,135.594,49.830
84.242,135.662,49.784
85.315,135.572,49.845
87.228,135.192,49.859
86.148,134.693,49.855
88.398,134.582,49.859
82.214,134.742,49.754
84.264,134.563,49.815
80.286,135.209,49.711
89.436,134.218,49.859
86.636,133.813,49.889
